Date,count
1998-12-17,2
1998-12-28,2
2017-04-18,1
2017-12-05,1
2018-01-26,1
2018-03-08,1
2018-12-09,1
2019-01-20,1
2019-04-03,1
2019-04-09,1
2019-10-02,1
2019-10-03,1
2019-10-06,1
2019-10-08,1
2019-10-10,2
2019-10-11,1
2019-10-12,3
2019-10-13,3
2019-10-17,2
2019-10-19,1
2019-10-20,3
2019-10-23,1
2019-10-24,3
2019-10-25,4
2019-10-27,3
2019-10-29,5
2019-10-30,6
2019-11-01,2
2019-11-02,3
2019-11-03,6
2019-11-04,4
2019-11-05,2
2019-11-06,3
2019-11-07,5
2019-11-08,5
2019-11-09,5
2019-11-11,7
2019-11-12,14
2019-11-13,1
2019-11-14,6
2019-11-15,5
2019-11-16,4
2019-11-17,7
2019-11-18,4
2019-11-19,6
2019-11-20,9
2019-11-21,16
2019-11-22,4
2019-11-23,9
2019-11-24,14
2019-11-25,19
2019-11-26,19
2019-11-27,16
2019-11-28,11
2019-11-29,12
2019-12-01,45
2019-12-02,24
2019-12-03,36
2019-12-04,36
2019-12-05,44
2019-12-06,32
2019-12-07,26
2019-12-08,33
2019-12-09,50
2019-12-10,40
2019-12-11,49
2019-12-12,34
2019-12-13,40
2019-12-14,49
2019-12-15,4
2019-12-16,48
2019-12-17,40
2019-12-18,49
2019-12-19,42
2019-12-20,25
2019-12-21,37
2019-12-22,40
2019-12-23,48
2019-12-24,33
2019-12-25,12
2019-12-26,45
2019-12-28,35
2019-12-29,45
2019-12-30,38
2019-12-31,38
2020-01-02,32
2020-01-03,39
2020-01-04,47
2020-01-05,51
2020-01-06,41
2020-01-07,34
2020-01-08,58
2020-01-09,53
2020-01-10,42
2020-01-11,36
2020-01-12,32
2020-01-13,36
2020-01-14,32
2020-01-16,43
2020-01-17,42
2020-01-18,46
2020-01-19,35
2020-01-20,49
2020-01-21,47
2020-01-22,45
2020-01-23,50
2020-01-24,47
2020-01-25,48
2020-01-26,54
2020-01-27,32
2020-01-28,42
2020-01-29,26
2020-01-30,50
2020-01-31,1
2020-02-01,30
2020-02-02,29
2020-02-05,36
2020-02-06,19
2020-02-07,27
2020-02-08,27
2020-02-09,27
2020-02-10,36
2020-02-11,53
2020-02-12,35
2020-02-13,31
2020-02-14,30
2020-02-16,38
2020-02-17,37
2020-02-18,30
2020-02-19,40
2020-02-20,42
2020-02-21,46
2020-02-22,28
2020-02-23,30
2020-02-24,36
2020-02-25,33
2020-02-26,27
2020-02-27,35
2020-02-28,40
2020-03-01,25
2020-03-02,31
2020-03-03,35
2020-03-04,42
2020-03-05,44
2020-03-06,37
2020-03-07,48
2020-03-08,29
2020-03-09,24
2020-03-10,32
2020-03-11,26
2020-03-12,47
2020-03-13,25
2020-03-14,30
2020-03-16,27
2020-03-17,28
2020-03-18,29
2020-03-19,16
2020-03-20,20
2020-03-21,15
2020-03-22,16
2020-03-23,17
2020-03-24,11
2020-03-25,20
2020-03-26,20
2020-03-27,15
2020-03-28,10
2020-03-29,11
2020-03-30,18
2020-04-01,15
2020-04-02,16
2020-04-03,9
2020-04-04,16
2020-04-05,13
2020-04-06,17
2020-04-07,14
2020-04-08,15
2020-04-09,11
2020-04-10,20
2020-04-11,8
2020-04-12,7
2020-04-13,10
2020-04-14,13
2020-04-15,18
